snapped_at,price,market_cap,total_volume
2022-01-12 00:00:00 UTC,3.4723859878286794,716635801.6435881,39411255.78066824
2022-01-13 00:00:00 UTC,3.9734679018505523,820049777.0492178,52246225.6122806
2022-01-14 00:00:00 UTC,3.574458876508591,737701744.9637159,48215056.60786743
2022-01-15 00:00:00 UTC,3.5284999137258897,728216670.9391304,36112939.911865935
2022-01-16 00:00:00 UTC,3.6428670735773436,751819922.8728526,22685197.364200216
2022-01-17 00:00:00 UTC,3.5951837737965238,741978977.8041831,20307777.76410184
2022-01-18 00:00:00 UTC,3.224882453886171,665555681.496167,27829621.71456981
2022-01-19 00:00:00 UTC,2.9956235240808686,618240907.8734024,39367756.892869264
2022-01-20 00:00:00 UTC,2.9653623932978506,611995574.0328261,36187376.02940744
2022-01-21 00:00:00 UTC,2.8295431575759813,583965013.141459,36116818.81022541
2022-01-22 00:00:00 UTC,2.39731062218862,494760267.30401415,59473168.27862556
2022-01-23 00:00:00 UTC,2.13418483185452,440456004.3706493,35522357.648843214
2022-01-24 00:00:00 UTC,2.244484419342671,463219785.1189859,23084934.80949359
2022-01-25 00:00:00 UTC,2.2946363478686624,473570209.1873855,36537557.93581484
2022-01-26 00:00:00 UTC,2.311665053048839,477084616.8109974,34192721.81837394
2022-01-27 00:00:00 UTC,2.492081284144405,514319167.01765054,40337737.81944317
2022-01-28 00:00:00 UTC,2.4828808932277378,512420377.6713306,33366288.460212152
2022-01-29 00:00:00 UTC,2.8384067976634806,585794303.3879496,28717939.78626985
2022-01-30 00:00:00 UTC,3.1967301405465514,659745568.3034008,67543614.73869121
2022-01-31 00:00:00 UTC,3.088428712466325,637394170.4451373,78134036.81709728
2022-02-01 00:00:00 UTC,3.498464078637542,722017833.9342521,84483708.11107747
2022-02-02 00:00:00 UTC,3.745919412461401,773088006.4748149,83911858.49261807
2022-02-03 00:00:00 UTC,3.2763757278339076,722716273.2365613,130452894.9802918
2022-02-04 00:00:00 UTC,3.339047656705719,736540702.0058243,95143951.63905336
2022-02-05 00:00:00 UTC,3.6118793593052105,796723027.7532597,83809072.93931057
2022-02-06 00:00:00 UTC,3.7103529905398784,818444741.5278399,81774933.30291755
2022-02-07 00:00:00 UTC,3.6153981379693536,797499214.2513129,53013224.03596161
2022-02-08 00:00:00 UTC,3.6378881882177856,802460160.9346762,60906880.58861073
2022-02-09 00:00:00 UTC,3.4027241510243864,750586721.9039088,53879384.69814877
2022-02-10 00:00:00 UTC,3.3234809269325902,733106929.4892777,48000404.87243721
2022-02-11 00:00:00 UTC,3.076661443531026,678662484.7661803,54336707.29654642
2022-02-12 00:00:00 UTC,2.6769381584376464,590489898.0648519,48382937.997933425
2022-02-13 00:00:00 UTC,2.687388950972246,592795176.3541548,42793203.57739367
2022-02-14 00:00:00 UTC,2.591358556116919,571612401.589442,45753764.10928053
2022-02-15 00:00:00 UTC,2.8422366836519815,626952118.5298363,39674880.3334352
2022-02-16 00:00:00 UTC,3.248142623496939,716488500.3425767,58338553.4057044
2022-02-17 00:00:00 UTC,3.221604560367739,710634626.5268492,84622426.98195527
2022-02-18 00:00:00 UTC,2.8004638931197134,617737706.6296079,44451518.81177425
2022-02-19 00:00:00 UTC,2.7052852685444573,596742818.8148677,34932786.04022286
2022-02-20 00:00:00 UTC,2.6210349095571166,578158532.2359813,19372273.82287526
2022-02-21 00:00:00 UTC,2.469165591906373,544658580.9516733,23740707.28340679
2022-02-22 00:00:00 UTC,2.366286106156314,521965005.88269514,48922659.968859084
2022-02-23 00:00:00 UTC,2.4889848803525303,549030400.1427149,36441336.07135659
2022-02-24 00:00:00 UTC,2.3641579848948617,521495576.24615926,38563717.046887085
2022-02-25 00:00:00 UTC,2.3430867305145893,516847593.32138085,69398784.63749051
2022-02-26 00:00:00 UTC,2.584392737187791,570075852.9409668,50989706.58150625
2022-02-27 00:00:00 UTC,2.460573193554637,542763234.8037404,25713663.674943358
2022-02-28 00:00:00 UTC,2.388393193441681,526841477.03930414,30675204.29734531
2022-03-01 00:00:00 UTC,2.6772185580458494,590551749.7499733,26239318.833978705
2022-03-02 00:00:00 UTC,2.9786211554866076,657036359.5936118,56045745.022128634
2022-03-03 00:00:00 UTC,2.914035476155808,642789787.9706233,95651887.49812543
2022-03-04 00:00:00 UTC,2.768302877896589,610643499.1893253,43012913.11702635
2022-03-05 00:00:00 UTC,2.503404480307833,552211134.1021098,31767799.459889337
2022-03-06 00:00:00 UTC,2.62033677180453,578004534.1732838,23475193.239754226
2022-03-07 00:00:00 UTC,2.5346905409028753,559112340.4947144,19146663.303191796
2022-03-08 00:00:00 UTC,2.489225225880754,549083416.5360947,24733654.024820957
2022-03-09 00:00:00 UTC,2.5051641639453646,580386933.9203525,16986004.39496892
2022-03-10 00:00:00 UTC,2.6487955757726827,613662914.7621919,28416776.517062787
2022-03-11 00:00:00 UTC,2.520043464898074,583834113.9427669,22119878.431878928
2022-03-12 00:00:00 UTC,2.387444632864533,553114119.3520072,21937562.159310292
2022-03-13 00:00:00 UTC,2.3596457999018052,546673791.144377,9185454.285456656
2022-03-14 00:00:00 UTC,2.2648905034138105,524721243.36612254,13530122.851119105
2022-03-15 00:00:00 UTC,2.3166008089102283,536701290.8580542,9836246.872152925
2022-03-16 00:00:00 UTC,2.3275934289686018,539248019.389163,12597110.811836207
2022-03-17 00:00:00 UTC,2.4956858465647973,578191033.291402,28542008.31345637
2022-03-18 00:00:00 UTC,2.421502715057694,561004566.6862711,14743584.545508945
2022-03-19 00:00:00 UTC,2.553944608028265,591688202.2300348,38602680.58243553
2022-03-20 00:00:00 UTC,2.6837188343232605,621753802.8741933,48629145.305115834
2022-03-21 00:00:00 UTC,2.6058255019957985,603707771.0120832,18614843.647176553
2022-03-22 00:00:00 UTC,2.668445234751283,618215273.2428471,16639107.219675623
2022-03-23 00:00:00 UTC,2.8135295054221645,651827846.9123226,26651164.774156157
2022-03-24 00:00:00 UTC,2.7911020388846244,646631936.5098583,18444785.14457697
2022-03-25 00:00:00 UTC,2.8389452402199624,657716067.9738098,21052198.600155964
2022-03-26 00:00:00 UTC,2.7456382240226382,636099052.2814193,17494505.298760254
2022-03-27 00:00:00 UTC,2.7047257335674106,626620601.6329161,14001331.822750932
2022-03-28 00:00:00 UTC,2.7967802954283676,647947453.453964,17746876.062853478
2022-03-29 00:00:00 UTC,2.945722663049272,682453856.394917,38681313.625049844
2022-03-30 00:00:00 UTC,2.9362891259827237,680268330.2993118,24414599.036031682
2022-03-31 00:00:00 UTC,2.9993605444313354,694880477.3586673,17400672.618091155
2022-04-01 00:00:00 UTC,2.9267740428984244,678063911.9315362,37031963.65536173
2022-04-02 00:00:00 UTC,2.9528569518859094,684106701.3793658,28863779.87884447
2022-04-03 00:00:00 UTC,3.0606607750670887,709082282.3418841,35942321.07762098
2022-04-04 00:00:00 UTC,3.056623810196664,708147013.6288749,20685712.799162515
2022-04-05 00:00:00 UTC,2.910132659454197,674208499.3193038,22505169.657999523
2022-04-06 00:00:00 UTC,2.8079837282605737,650543022.2891122,18821292.716162883
2022-04-07 00:00:00 UTC,2.5017710641045183,607350838.3139402,26254734.877261266
2022-04-08 00:00:00 UTC,2.59033132875409,628850467.8156006,19025644.292591814
2022-04-09 00:00:00 UTC,2.43655421984657,591518252.5107975,22826502.212669328
2022-04-10 00:00:00 UTC,2.5076774885075457,608784731.2324759,10780574.103425283
2022-04-11 00:00:00 UTC,2.4781049290466854,601605449.7077407,8966033.982609821
2022-04-12 00:00:00 UTC,2.0720111473959846,503018731.5789524,27767858.718704484
2022-04-13 00:00:00 UTC,2.0564060953135113,499230318.80201596,35405450.29501395
2022-04-14 00:00:00 UTC,2.1102083122504296,512291794.3417383,19584736.088775367
2022-04-15 00:00:00 UTC,2.0159154409955096,489400469.3818332,20301254.590577237
2022-04-16 00:00:00 UTC,2.0352288630190962,494089157.0179797,9959398.098545223
2022-04-17 00:00:00 UTC,2.010457421568022,488075435.00023794,7184410.013535934
2022-04-18 00:00:00 UTC,2.0062413184875783,487051898.6035364,11400000.503067793
2022-04-19 00:00:00 UTC,2.009821525015915,487921059.4422405,24347629.772934828
